Shift,Tiles,Baseline(ms),Tiled(ms),Speedup
6,1,N/A,0.0234,N/A
6,2,N/A,0.0252,N/A
6,4,N/A,0.0322,N/A
6,8,N/A,0.0564,N/A
6,16,N/A,0.0745,N/A
6,32,N/A,0.1164,N/A
8,1,N/A,0.0407,N/A
8,2,N/A,0.0444,N/A
8,4,N/A,0.0528,N/A
8,8,N/A,0.0791,N/A
8,16,N/A,0.1056,N/A
8,32,N/A,0.1630,N/A
10,1,N/A,0.4957,N/A
10,2,N/A,0.4235,N/A
10,4,N/A,0.3861,N/A
10,8,N/A,0.3740,N/A
10,16,N/A,0.3941,N/A
10,32,N/A,0.4608,N/A
12,1,N/A,7.6904,N/A
12,2,N/A,6.4452,N/A
12,4,N/A,5.8391,N/A
12,8,N/A,5.5893,N/A
12,16,N/A,5.5015,N/A
12,32,N/A,5.6335,N/A
14,1,N/A,122.4925,N/A
14,2,N/A,102.2020,N/A
14,4,N/A,92.8986,N/A
14,8,N/A,88.6066,N/A
14,16,N/A,87.2821,N/A
14,32,N/A,87.7553,N/A
